epoch,accuracy,learning_rate,loss,top_5_accuracy,val_accuracy,val_loss,val_top_5_accuracy
0,0.5000657439231873,0.0010000000474974513,1.9812074899673462,0.8341882824897766,0.5687453746795654,1.738688588142395,0.8649644255638123
1,0.6896061897277832,0.0010000000474974513,1.2361648082733154,0.947965145111084,0.5104345679283142,2.276655673980713,0.8404124975204468
2,0.7361692190170288,0.0010000000474974513,1.088513731956482,0.9666429758071899,0.4975447952747345,2.3457818031311035,0.8551436066627502
3,0.7794702053070068,0.0010000000474974513,0.9558565616607666,0.9776392579078674,0.8107046484947205,0.8910163640975952,0.9855143427848816
4,0.8044353127479553,0.0010000000474974513,0.878989577293396,0.9835319519042969,0.6104836463928223,1.786921501159668,0.905106782913208
5,0.8313997983932495,0.0010000000474974513,0.8065548539161682,0.9877410531044006,0.8332924246788025,0.8496273756027222,0.9852688312530518
6,0.8548128008842468,0.0010000000474974513,0.728668749332428,0.9912924766540527,0.9076847434043884,0.5771978497505188,0.9969310164451599
7,0.8674401044845581,0.0010000000474974513,0.6898510456085205,0.991450309753418,0.8146329522132874,0.8624199032783508,0.9907930493354797
8,0.8836976885795593,0.0010000000474974513,0.6344007849693298,0.9928708672523499,0.8507242798805237,0.7684686779975891,0.9864964485168457
9,0.8873016834259033,0.0010000000474974513,0.6113793253898621,0.9942125082015991,0.6487846970558167,2.0606045722961426,0.9181193113327026
10,0.9406518936157227,0.00020000000949949026,0.43541765213012695,0.9984741806983948,0.9689418077468872,0.3467629551887512,0.9990178942680359
11,0.9499644637107849,0.00020000000949949026,0.3736858367919922,0.9990792870521545,0.9788853526115417,0.292020320892334,0.9995089769363403
12,0.9546207785606384,0.00020000000949949026,0.34851372241973877,0.9991582036018372,0.9792536497116089,0.2768732011318207,0.9992634654045105
13,0.9568042755126953,0.00020000000949949026,0.321259468793869,0.9992371201515198,0.976798415184021,0.2658114731311798,0.9996317028999329
14,0.9573829770088196,0.00020000000949949026,0.30892086029052734,0.9990529417991638,0.9722563028335571,0.26634833216667175,0.999386191368103
15,0.9615920782089233,0.00020000000949949026,0.29073232412338257,0.999421238899231,0.9799901843070984,0.23792822659015656,0.9995089769363403
16,0.9643806219100952,0.00020000000949949026,0.2730468213558197,0.9994475841522217,0.9613307118415833,0.2891108989715576,0.999386191368103
17,0.9625654220581055,0.00020000000949949026,0.2694235146045685,0.9995265007019043,0.9771667122840881,0.2328217327594757,0.9995089769363403
18,0.9658538103103638,0.00020000000949949026,0.2539049983024597,0.9993423223495483,0.9834274649620056,0.208964005112648,0.9996317028999329
19,0.965248703956604,0.00020000000949949026,0.2502392530441284,0.9993423223495483,0.9815860390663147,0.2067752182483673,0.9996317028999329
20,0.9666693210601807,0.00020000000949949026,0.23969438672065735,0.9995790719985962,0.9825681447982788,0.2026146501302719,0.9992634654045105
21,0.9686160087585449,0.00020000000949949026,0.23192597925662994,0.9996843338012695,0.9829363822937012,0.20041079819202423,0.999386191368103
22,0.969010591506958,0.00020000000949949026,0.22540228068828583,0.9995790719985962,0.9731156229972839,0.21875400841236115,0.999386191368103
23,0.9680109620094299,0.00020000000949949026,0.2266872227191925,0.9996054172515869,0.9803584814071655,0.1944417506456375,0.9996317028999329
24,0.9717465043067932,0.00020000000949949026,0.21296828985214233,0.9996054172515869,0.9788853526115417,0.20079106092453003,0.9997544884681702
25,0.9712730050086975,0.00020000000949949026,0.21302735805511475,0.9995265007019043,0.9705376625061035,0.21959330141544342,0.9991406798362732
26,0.9715360403060913,0.00020000000949949026,0.20605123043060303,0.9994738698005676,0.982322633266449,0.1813802868127823,0.9996317028999329
27,0.9712466597557068,0.00020000000949949026,0.20615839958190918,0.9995790719985962,0.9846550226211548,0.17410504817962646,0.9995089769363403
28,0.9713255763053894,0.00020000000949949026,0.20310063660144806,0.9996843338012695,0.9873557686805725,0.16261129081249237,0.9996317028999329
29,0.972588300704956,0.00020000000949949026,0.19485925137996674,0.9996054172515869,0.9776577353477478,0.1860603541135788,0.9995089769363403
