epoch,accuracy,learning_rate,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
15,0.9751927256584167,9.999999747378752e-06,0.07073792815208435,0.9997895359992981,0.9775350093841553,0.06458638608455658,0.9996317028999329
16,0.9764817357063293,9.999999747378752e-06,0.06916330754756927,0.9996054172515869,0.9777805209159851,0.06408511847257614,0.9995089769363403
17,0.975771427154541,9.999999747378752e-06,0.07031673192977905,0.9994738698005676,0.9783943295478821,0.06425768882036209,0.9996317028999329
18,0.9774024486541748,9.999999747378752e-06,0.06923552602529526,0.9996317028999329,0.9780260324478149,0.06434518843889236,0.9996317028999329
19,0.9767711162567139,1.9999999949504854e-06,0.06827189028263092,0.9997106194496155,0.9785170555114746,0.06386157125234604,0.9996317028999329
20,0.9772709608078003,1.9999999949504854e-06,0.06712193787097931,0.9997369050979614,0.9781487584114075,0.0642886757850647,0.9996317028999329
21,0.9761923551559448,1.9999999949504854e-06,0.07039877772331238,0.9996843338012695,0.9779032468795776,0.06389324367046356,0.9996317028999329
22,0.9761397242546082,4.0000000467443897e-07,0.06958340108394623,0.9996054172515869,0.9780260324478149,0.06411893665790558,0.9996317028999329
23,0.9760345220565796,4.0000000467443897e-07,0.06867353618144989,0.9996579885482788,0.9779032468795776,0.0641847550868988,0.9996317028999329
24,0.9755346775054932,1.0000000116860974e-07,0.07027111947536469,0.9998421669006348,0.9779032468795776,0.06415682286024094,0.9996317028999329
